Country,Total Farmers,Total Production,Exports to EU,Exports to Other Destinations
Bolivia,17682.0,6011880.0,495391.0,873757.0
Brazil,287300.0,3978000008.0,954149791.0,1067729500.0
Burundi,583260.0,12900225.0,11347278.0,3843909.0
Cameroon,,,17472541.0,2122388.0
China,147480.0,118823606.0,28086863.0,28935648.0
Colombia,547195.0,695999991.0,151467276.0,529931111.0
Congo (Kinshasa),199800.0,16500003.0,4801510.0,2368415.0
Costa Rica,32899.0,86164791.0,13138902.0,51090378.0
Cote d'Ivoire,149770.0,81000000.0,25111729.0,19320300.0
Dominican Republic,,,344340.0,410375.0
Ecuador,52082.0,22202858.0,394616.0,1194105.0
El Salvador,20010.0,40200001.0,10616954.0,24378332.0
Ethiopia,2241187.0,501000147.0,87437547.0,149205232.0
Guatemala,171445.0,205952191.0,37177344.0,154298653.0
Guinea,,,682160.0,3366378.0
Honduras,127320.0,333004471.0,213109593.0,146624770.0
India,442701.0,304743848.0,134295591.0,67468410.0
Indonesia,1341894.0,582000011.0,76731135.0,240933089.0
Jamaica,,,105539.0,425130.0
Kenya,480539.0,47938531.0,28337473.0,35761632.0
Laos,30947.0,27018966.0,8492881.0,23080910.0
Malawi,,,170011.0,699950.0
Mexico,382925.0,245399987.0,36737708.0,49276664.0
Nicaragua,45283.0,159657281.0,44548902.0,114252319.0
Other,68470.0,38334266.0,,
Panama,8619.0,4799996.0,325494.0,2359792.0
Papua New Guinea,350322.0,54000005.0,22826256.0,24986825.0
Peru,222028.0,251999993.0,118444199.0,103946280.0
Rwanda,373880.0,15000038.0,8926718.0,10093404.0
Tanzania,336712.0,81000000.0,31242910.0,33823398.0
Togo,,,1990571.0,4063902.0
Uganda,1818480.0,411000002.0,143718138.0,59395489.0
Vietnam,615738.0,1878000003.0,684373021.0,708700846.0
Yemen,99570.0,19922200.0,31191.0,1498633.0
