country,num_farmers,total_production,min_farmer_production,max_farmer_production,mean_farmer_production,median_farmer_production,std_farmer_production,num_middlemen,total_middlemen_capacity,min_middleman_capacity,max_middleman_capacity,mean_middleman_capacity,median_middleman_capacity,std_middleman_capacity,num_exporters,total_export_capacity,eu_exports,other_exports,local_sales,num_eu_exporters,min_exporter_capacity,max_exporter_capacity,mean_exporter_capacity,median_exporter_capacity,std_exporter_capacity
Bolivia,17682,6011880.000000007,12.085740021647254,5231.9522289940605,340.0,248.9729457421244,314.738752329074,1320,6011879.999999981,706.9626913406863,12890.155934876295,4554.454545454545,3251.792961368485,3751.3967402396424,36,1369147.9999999995,495391.0,873757.0,4642731.999999999,6,4628.660955263348,422320.12853138405,38031.88888888888,10634.217660887702,79793.20952962269
Brazil,287300,3978000007.9999323,173.68075734733188,379776.58506129327,13846.153873999305,10050.258040862202,13162.09548661044,5360,3978000007.9999313,255689.25714786054,2961696.4467539717,742164.180597015,475980.68059643067,663501.8028148123,73,2021879291.0,954149790.9999999,1067729500.0,1956120717.0000005,49,2928125.8871831596,731685997.5592752,27696976.589041095,10497262.86298558,84912306.57360367
Burundi,583260,12900225.00002645,11.157250648120337,569.0739445198466,22.11745190823989,15.000269927440861,18.495939379546545,7630,12900224.999999242,740.0648888502541,12106.999193015045,1690.724115334207,987.5575491903227,1699.6743763612285,87,15191187.000000026,11347278.000000002,3843908.999999999,-2290962.0,14,9581.817054220493,2382323.076668407,174611.34482758626,13080.234110871954,466890.0378087998
China,147480,118823605.99999999,21.153358075782783,18232.741214978683,805.69301600217,584.6309951370376,760.0074157838802,3840,118823606.00000127,7357.991908801372,138370.0964629562,30943.647395833334,19680.384415181816,30422.6208439991,61,57022510.999999985,28086863.0,28935648.0,61801094.99999998,54,31095.092220183622,16431777.830785405,934795.2622950817,48941.473299209705,2734714.1956664925
Colombia,547195,695999990.9999894,21.577358498065674,56460.3145675971,1271.941430385877,922.8089005146439,1206.3911952851633,7390,695999990.9999884,41361.26593892636,432364.8261865135,94181.3248985115,56143.47246987354,84458.78583190539,85,681398386.9999999,151467276.0,529931111.0,14601603.999999998,56,236902.0898519426,142579964.2585471,8016451.611764706,2908861.3090844816,18618979.21412733
Congo (Kinshasa),199800,16500002.999999437,11.950164514245653,2175.1158284868798,82.58259759759758,59.741876735245,78.62939431351347,4460,16500002.999999724,1007.0736038562171,18235.07236688316,3699.5522421524665,2261.0710877306683,3702.441514885526,66,7169924.999999996,4801510.0,2368415.0,9330077.999999998,24,12188.41332663631,1142792.7583374442,108635.22727272726,48681.95833334735,197105.87421156553
Costa Rica,32899,86164791.00000054,69.57065680236822,111156.88045387481,2619.070214900149,1901.0282132829566,2535.7747945306182,1810,86164790.9999999,6463.245897449858,111599.6863950106,47604.85690607735,35965.39079129428,34709.87267915576,42,64229280.0,13138902.000000002,51090378.0,21935511.0,26,19210.68370853452,13989792.020331103,1529268.5714285714,270408.29398527043,2711804.694776408
Cote d'Ivoire,149770,81000000.00000039,11.955209296538738,10444.16807773449,540.8292715497095,393.6132407031978,506.1952487047105,3870,81000000.00000028,5398.582785850518,69581.04196342656,20930.232558139534,14078.137519349217,18130.840997288353,62,44432028.99999996,25111729.0,19320300.000000004,36567971.0,49,37164.982477644764,11275707.036377117,716645.6290322578,138279.58450898336,1954670.4226297573
Ecuador,52082,22202858.000000067,14.1568045008981,16333.034147741972,426.30578702814785,309.11223334641807,408.591587970721,2280,22202857.99999992,1630.7933264028886,23747.42721388627,9738.095614035088,7540.304578151736,7261.12454957968,47,1588720.9999999998,394616.00000000006,1194105.0000000002,20614137.000000004,22,2844.396152234393,249226.54465809933,33802.5744680851,11398.477797590904,52378.13233697335
El Salvador,20010,40200001.00000013,39.388059442890146,25124.121092246885,2008.9955522238877,1463.5344669328374,1858.4515950511925,1410,40200000.99999989,3572.145879492498,49291.435428768535,28510.6390070922,26125.620975887206,16384.43489748016,37,34995286.0,10616954.0,24378332.000000007,5204714.999999999,26,33878.46620694863,7272445.633760149,945818.5405405406,248708.72169000845,1668862.656186275
Ethiopia,2241187,501000146.9999741,11.977306273166004,8015.819526906442,223.54232243895788,162.27116626297612,211.80179823789126,14970,501000146.9999028,23284.802364970525,419158.62738240615,33466.943687374755,23284.802364970525,27879.797750136215,122,236642779.00000006,87437547.00000004,149205232.0,264357367.99999985,91,131059.77717713456,46119090.60674334,1939694.9098360655,425279.88096574944,5168229.078908572
Guatemala,171445,205952191.00000042,22.35073789044605,29580.22221137832,1201.2726588701917,874.9769027202127,1119.2101951165043,4140,205952191.00000206,12888.267446475993,235067.9039699148,49746.90603864734,32049.949123486964,48448.832672649354,64,191475997.00000006,37177343.99999999,154298653.00000006,14476194.000000004,38,52736.33709074164,55302679.833846666,2991812.453125,509422.88103035867,8071243.968387886
Honduras,127320,333004471.00000083,56.384257457942724,57018.42760203386,2615.492232170908,1890.2323949766528,2478.5235915608746,3560,333004471.0000014,21611.4519602629,421404.3071984992,93540.58174157303,59999.89705931211,90557.73879054202,59,359734363.00000006,213109593.00000006,146624770.00000003,-26729892.0,49,238603.31889736012,59054370.82687644,6097192.593220339,1305237.1884069396,11981707.171779668
India,442701,304743848.0000011,13.163113484212209,26876.07453290041,688.3739770183485,499.2262160595305,654.5184803821501,6650,304743848.0000183,18146.333662078137,267259.16286635626,45826.14255639098,27293.300479982976,44247.67568733353,81,201764001.0000001,134295591.00000003,67468409.99999999,102979847.00000003,57,190000.96442481238,58850081.93157488,2490913.592592593,999177.6166555542,6744272.703615613
